avg,mapped_wreq,1-48,49-96,97-144,145-192,193-240,241-288,289-336,337-384,385-432,433-480,481-528,529-576,577-624,625-672,673-720,721-768,769-816,817-864,865-912,913-960,961-1008,1009-1056,1057-1104,1105-1152,1153-1200,1201-1248,1249-1296,1297-1344,1345-1392,1393-1440
1633,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",136,138,137,136,129,151,153,154,153,152,154,155,156,157,158,157,157,156,153,155,157,156,150,146,147,144,140,135,135,135
295,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",106,105,105,105,105,105,104,104,104,104,104,105,105,105,104,105,106,108,108,108,109,108,108,107,107,108,108,108,108,107
265,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",56,56,55,58,60,58,56,56,56,57,58,58,59,60,59,57,57,59,57,57,56,57,58,56,58,57,57,59,58,59
31,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",28,31,33,33,33,31,35,34,31,32,32,33,39,32,32,33,33,39,32,34,32,34,35,33,33,32,31,30,30,29
43,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",26,17,18,18,21,26,30,33,28,26,25,31,29,30,35,45,46,41,42,44,39,37,37,35,33,32,29,25,25,23
4,"{""mean"": 2, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",25,26,26,26,25,25,26,29,32,43,43,46,40,36,29,28,29,28,29,29,28,29,28,29,27,28,27,26,27,26
19,"{""mean"": 2, ""bench"": ""disk-rand-0ebf93f8938852"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",27,28,28,29,27,27,29,28,27,30,29,32,29,31,32,30,31,30,31,32,31,32,30,32,30,31,28,28,29,27
6,"{""mean"": 2, ""bench"": ""disk-rand-0ebf93f8938852"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",19,15,14,14,13,13,15,18,21,23,25,32,34,36,40,41,37,35,35,35,33,32,29,28,26,24,22,20,20,17
79,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",19,22,24,25,26,27,29,29,29,29,29,30,30,29,29,28,28,28,27,26,25,24,23,23,23,22,20,19,19,18
2,"{""mean"": 2, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",23,23,24,26,23,24,23,23,23,23,23,23,24,23,23,24,26,25,25,25,26,26,27,27,26,28,27,26,25,25
14,"{""mean"": 2, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",23,23,23,23,22,22,23,23,23,23,22,23,23,22,23,22,22,21,22,22,22,22,22,22,20,20,22,22,22,22
18,"{""mean"": 2, ""bench"": ""disk-rand-0ebf93f8938852"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",13,10,8,13,14,7,25,25,20,23,44,43,19,23,15,16,16,20,15,20,12,12,35,44,27,13,20,13,9,9
28,"{""mean"": 2, ""bench"": ""disk-rand-0ebf93f8938852"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",17,17,17,17,17,17,17,17,17,17,17,18,19,19,19,19,20,20,19,19,19,20,20,18,18,19,19,19,19,18
1,"{""mean"": 1, ""bench"": ""float-c571b37ac335ef8f25"", ""payload"": ""{\""n\"": 10000}""}",12,11,11,12,11,11,13,15,17,20,21,21,21,21,19,19,19,19,19,19,19,18,17,16,14,13,14,14,14,14
0,"{""mean"": 0, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",15,15,15,15,15,15,15,16,16,16,16,17,16,16,16,17,16,16,16,16,15,15,15,15,15,15,15,15,15,15
244,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",10,10,10,7,6,4,3,3,3,2,2,1,2,2,5,4,15,31,31,33,46,41,35,22,22,21,20,18,13,17
242,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",19,19,19,18,0,17,18,17,16,0,19,17,12,19,4,18,19,18,17,1,19,19,18,19,1,18,18,17,15,0
30,"{""mean"": 2, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",12,12,16,20,17,21,16,16,16,11,10,12,12,13,13,14,14,14,13,14,14,12,13,12,13,13,14,14,13,14
126,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",10,4,7,7,3,1,1,1,0,0,1,3,5,12,38,28,25,22,21,23,22,20,18,18,18,17,18,17,16,15
63,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12
5,"{""mean"": 2, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",17,17,17,16,17,17,19,17,16,17,17,13,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4
16821,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",0,1,2,14,14,12,12,12,12,12,12,12,12,11,11,10,10,10,9,10,8,9,8,7,8,7,7,5,0,0
33,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
110,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",8,8,10,10,10,10,9,7,7,7,8,8,8,8,8,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8
127,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",2,4,13,16,15,14,15,16,14,13,14,13,15,13,10,6,5,4,6,4,2,2,2,2,3,3,3,3,4,4
32,"{""mean"": 59, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",7,7,7,7,7,8,7,7,9,14,9,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,7,7,7
