avg,mapped_wreq,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
1633,"{""mean"": 2721.288156, ""bench"": ""float-c571b37ac335ef8f25"", ""payload"": ""{\""n\"": 10000}""}",250,251,248,258,252,239,242,253,244,259,243,252,238,246,240,242,243,245,247,241,243,248,251,252,250,248,241,248,252,247
295,"{""mean"": 319.042249, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",185,189,201,195,188,181,193,195,198,179,184,186,200,192,186,177,192,196,201,181,183,186,200,192,185,178,192,193,198,182
265,"{""mean"": 319.042249, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",102,106,100,99,108,116,105,101,102,98,110,107,101,101,93,110,101,110,98,112,108,105,96,97,112,101,108,102,90,106
31,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",59,60,59,59,59,59,55,52,51,50,54,55,54,51,51,54,51,51,51,50,50,56,53,51,52,54,51,48,52,52
43,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",38,38,38,37,39,38,37,36,33,31,30,30,28,29,30,30,30,31,30,32,29,30,30,29,32,33,31,29,30,30
4,"{""mean"": 5.771919, ""bench"": ""disk-rand-0ebf93f8938852"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",46,47,46,46,47,47,46,45,47,43,46,45,45,47,45,47,49,48,47,48,47,46,44,47,49,47,47,47,44,46
19,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",49,50,50,49,50,50,49,48,51,46,49,49,47,50,48,50,52,52,51,51,49,48,47,50,49,49,51,50,48,49
6,"{""mean"": 5.771919, ""bench"": ""disk-rand-0ebf93f8938852"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",38,36,36,37,34,33,36,34,34,34,34,32,33,32,36,32,28,31,30,31,32,32,34,37,33,33,34,28,26,26
79,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",34,34,34,35,37,32,34,35,35,35,36,36,35,36,36,38,37,37,36,39,35,38,38,39,41,41,41,40,40,41
2,"{""mean"": 0.011647, ""bench"": ""json-60fd8c7b14a741bb5bc"", ""payload"": ""{\""json_string\"": \""{\\\""a\\\"":1,\\\""b\\\"":[1,2,3]}\""}""}",41,43,42,41,41,44,45,44,42,39,40,40,39,40,45,43,44,42,40,40,38,40,41,43,41,40,39,38,40,40
14,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",39,40,41,42,41,38,40,41,41,41,39,40,40,41,41,40,41,41,41,41,39,41,41,41,42,40,41,41,42,42
18,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",37,23,30,32,27,25,45,31,21,20,16,12,12,9,11,12,47,13,9,8,17,19,18,22,20,13,44,25,29,15
28,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",27,29,30,30,29,28,33,31,32,31,30,30,29,29,29,28,29,30,30,30,28,30,31,32,32,29,31,29,30,29
1,"{""mean"": 0.011647, ""bench"": ""json-60fd8c7b14a741bb5bc"", ""payload"": ""{\""json_string\"": \""{\\\""a\\\"":1,\\\""b\\\"":[1,2,3]}\""}""}",21,22,21,20,21,22,21,21,20,20,20,21,20,20,21,20,21,21,20,21,22,21,21,20,20,21,22,21,19,20
0,"{""mean"": 0.011647, ""bench"": ""json-60fd8c7b14a741bb5bc"", ""payload"": ""{\""json_string\"": \""{\\\""a\\\"":1,\\\""b\\\"":[1,2,3]}\""}""}",27,26,27,26,26,27,26,26,26,27,27,28,26,26,26,27,26,26,26,26,27,26,26,26,27,28,28,27,27,27
244,"{""mean"": 319.042249, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",18,18,17,16,19,17,16,18,16,17,21,20,17,18,19,15,15,15,15,14,17,14,16,16,15,16,17,15,15,16
30,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",23,24,22,22,18,24,25,25,24,24,25,25,24,9,23,24,25,25,24,24,22,24,24,24,24,24,25,24,13,14
126,"{""mean"": 107.161463, ""bench"": ""aes-4ed58c4e08a18a048b11"", ""payload"": ""{\""message_length\"": 256, \""num_iterations\"": 10}""}",5,4,4,5,13,24,33,30,6,4,4,4,4,5,4,5,4,4,4,4,6,10,6,4,4,5,31,26,7,7
63,"{""mean"": 67.003012, ""bench"": ""gzip-ad2ebb2666f4c4877b4"", ""payload"": ""{\""file_size\"": 1}""}",18,18,18,18,19,20,20,20,19,19,19,18,18,19,17,20,17,20,20,19,18,18,19,19,18,20,20,20,19,17
5,"{""mean"": 5.771919, ""bench"": ""disk-rand-0ebf93f8938852"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",24,71,73,3,8,5,7,14,115,18,14,11,5,8,31,19,6,25,64,81,16,63,8,7,31,12,27,8,47,122
33,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",13,15,12,15,10,16,16,13,16,12,15,18,15,13,13,12,15,15,13,13,13,18,15,16,12,16,16,17,14,11
110,"{""mean"": 107.161463, ""bench"": ""aes-4ed58c4e08a18a048b11"", ""payload"": ""{\""message_length\"": 256, \""num_iterations\"": 10}""}",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14
127,"{""mean"": 107.161463, ""bench"": ""aes-4ed58c4e08a18a048b11"", ""payload"": ""{\""message_length\"": 256, \""num_iterations\"": 10}""}",2,3,1,0,5,11,5,4,4,3,6,13,15,9,1,1,2,1,2,3,6,4,5,6,5,4,4,4,4,3
32,"{""mean"": 6.647955, ""bench"": ""disk-seq-0ebf93f8938852c"", ""payload"": ""{\""byte_size\"": 4096, \""file_size\"": 1}""}",13,12,10,10,12,15,15,14,13,11,13,12,11,11,11,11,11,14,16,12,10,10,11,11,10,15,16,12,12,13
239,"{""mean"": 319.042249, ""bench"": ""chameleon-e52ff3854d5b6f"", ""payload"": ""{\""num_of_cols\"": 10, \""num_of_rows\"": 100}""}",14,14,13,13,14,14,14,14,14,13,15,13,13,14,14,13,14,15,14,15,14,13,13,14,14,13,14,14,14,12
